date,price,index_name,year,month,day,month_key,quarter_key,week_key,return_factor,investment_signal,cash_inflow,cash_balance,contribution,invested_wealth,wealth,total_contribution,wealth_return,all_time_high,all_time_high_flag
1967-10-06,78.07,Nasdaq Composite,1967,10,6,196710,19674,196740,1.0065755544094892,False,0.045454545454545456,0.18181818181818182,0.0,658.7431443069173,658.9249624887354,213.04545454545453,2.0902471061079044,78.07,True
1967-10-09,78.3,Nasdaq Composite,1967,10,9,196710,19674,196741,1.0029460740361216,False,0.045454545454545456,0.2272727272727273,0.0,660.6838503808331,660.9111231081058,213.04545454545453,2.098901259245168,78.3,True
1967-10-10,77.79,Nasdaq Composite,1967,10,10,196710,19674,196741,0.9934865900383143,False,0.045454545454545456,0.2727272727272727,0.0,656.3805456082376,656.6532728809649,213.04545454545453,2.078280844530413,78.3,False
1967-10-11,77.44,Nasdaq Composite,1967,10,11,196710,19674,196741,0.9955007070317521,False,0.045454545454545456,0.3181818181818182,0.0,653.4272972348878,653.7454790530696,213.04545454545453,2.063996706256398,78.3,False
1967-10-12,76.97,Nasdaq Composite,1967,10,12,196710,19674,196741,0.9939307851239669,False,0.045454545454545456,0.36363636363636365,0.0,649.4615065621038,649.8251429257401,213.04545454545453,2.04497404565842,78.3,False
1967-10-13,77.21,Nasdaq Composite,1967,10,13,196710,19674,196741,1.003118097960244,False,0.045454545454545456,0.4090909090909091,0.0,651.4865911609721,651.895682070063,213.04545454545453,2.0540257677899034,78.3,False
1967-10-16,76.63,Nasdaq Composite,1967,10,16,196710,19674,196742,0.9924880196865691,False,0.045454545454545456,0.4545454545454546,0.0,646.5926367137067,647.0471821682522,213.04545454545453,2.0306659586335,78.3,False
1967-10-17,76.46,Nasdaq Composite,1967,10,17,196710,19674,196742,0.9977815476967244,False,0.045454545454545456,0.5,0.0,645.1582017895082,645.6582017895082,213.04545454545453,2.023516483475773,78.3,False
1967-10-18,76.69,Nasdaq Composite,1967,10,18,196710,19674,196742,1.0030081088150669,False,0.045454545454545456,0.5454545454545454,0.0,647.0989078634238,647.6443624088784,213.04545454545453,2.03217194573214,78.3,False
1967-10-19,76.87,Nasdaq Composite,1967,10,19,196710,19674,196742,1.0023471117485983,False,0.045454545454545456,0.5909090909090909,0.0,648.6177213125752,649.2086304034843,213.04545454545453,2.038848908271629,78.3,False
1967-10-20,76.86,Nasdaq Composite,1967,10,20,196710,19674,196742,0.9998699102380642,False,0.045454545454545456,0.6363636363636364,0.0,648.5333427876222,649.1697064239859,213.04545454545453,2.038020323617888,78.3,False
1967-10-23,76.55,Nasdaq Composite,1967,10,23,196710,19674,196743,0.9959666926880041,False,0.045454545454545456,0.6818181818181819,0.0,645.9176085140838,646.5994266959019,213.04545454545453,2.02534823209482,78.3,False
1967-10-24,76.14,Nasdaq Composite,1967,10,24,196710,19674,196743,0.9946440235140431,False,0.045454545454545456,0.7272727272727273,0.0,642.4580889910169,643.1853617182896,213.04545454545453,2.0087344158627203,78.3,False
1967-10-25,76.25,Nasdaq Composite,1967,10,25,196710,19674,196743,1.001444707118466,False,0.045454545454545456,0.7727272727272727,0.0,643.3862527654983,644.1589800382255,213.04545454545453,2.0126482909951027,78.3,False
1967-10-26,76.62,Nasdaq Composite,1967,10,26,196710,19674,196743,1.0048524590163934,False,0.045454545454545456,0.8181818181818182,0.0,646.5082581887538,647.3264400069356,213.04545454545453,2.0268186355265856,78.3,False
1967-10-27,76.67,Nasdaq Composite,1967,10,27,196710,19674,196743,1.0006525711302532,False,0.045454545454545456,0.8636363636363636,0.0,646.930150813518,647.7937871771544,213.04545454545453,2.0283602460470456,78.3,False
1967-10-30,76.56,Nasdaq Composite,1967,10,30,196710,19674,196744,0.9985652797704447,False,0.045454545454545456,0.9090909090909092,0.0,646.0019870390366,646.9110779481275,213.04545454545453,2.0235911865007026,78.3,False
1967-10-31,75.39,Nasdaq Composite,1967,10,31,196710,19674,196744,0.984717868338558,False,0.045454545454545456,0.9545454545454546,0.0,636.129699619553,637.0842450740985,213.04545454545453,1.9770291825892454,78.3,False
1967-11-01,74.94,Nasdaq Composite,1967,11,1,196711,19674,196744,0.9940310385992837,False,0.05,1.0045454545454546,0.0,632.3326659966746,633.33721145122,213.04545454545453,1.958828364640131,78.3,False
1967-11-02,74.67,Nasdaq Composite,1967,11,2,196711,19674,196744,0.9963971176941554,False,0.05,1.0545454545454547,0.0,630.0544458229475,631.1089912774929,213.04545454545453,1.947729991954661,78.3,False
1967-11-03,74.25,Nasdaq Composite,1967,11,3,196711,19674,196744,0.9943752511048614,False,0.05,1.1045454545454545,0.0,626.5105477749278,627.6150932294732,213.04545454545453,1.9307265618934077,78.3,False
1967-11-06,74.03,Nasdaq Composite,1967,11,6,196711,19674,196745,0.997037037037037,False,0.05,1.1545454545454545,0.0,624.654220225965,625.8087656805104,213.04545454545453,1.9216095503291806,78.3,False
1967-11-08,73.79,Nasdaq Composite,1967,11,8,196711,19674,196745,0.9967580710522762,True,0.05,1.2045454545454546,1.2045454545454546,623.833681081642,623.833681081642,214.25,1.9117091299026465,78.3,False
1967-11-09,74.18,Nasdaq Composite,1967,11,9,196711,19674,196745,1.0052852690066405,False,0.05,0.05,0.0,627.1308099015613,627.1808099015612,214.25,1.9266486696293104,78.3,False
1967-11-10,74.71,Nasdaq Composite,1967,11,10,196711,19674,196745,1.0071447829603666,False,0.05,0.1,0.0,631.6115234260669,631.711523426067,214.25,1.9471029784281173,78.3,False
